21,31,32,21,31,41
21,22,32,21,22,23
12,22,23,12,22,32
12,13,23,12,13,14
,,,,,
30,40,50,30,40,41
30,31,32,30,31,41
21,31,41,21,31,32
21,22,23,21,22,32
12,22,32,12,22,23
12,13,14,12,13,23
03,13,23,03,13,14
03,04,05,03,04,14
,,,,,
,,,,,
41,51,61,41,51,52
41,42,43,41,42,52
32,42,52,32,42,43
32,33,34,32,33,43
23,33,43,23,33,34
23,24,25,23,24,34
14,24,34,14,24,25
14,15,16,14,15,25
,,,,,
50,60,61,50,60,70
50,51,61,50,51,52
41,51,52,41,51,61
41,42,52,41,42,43
32,42,43,32,42,52
32,33,43,32,33,34
23,33,34,23,33,43
23,24,34,23,24,25
14,24,25,14,24,34
14,15,25,14,15,16
05,15,16,05,15,25
05,06,16,05,06,07
,,,,,
,,,,,
61,71,72,61,71,81
61,62,72,61,62,63
52,62,63,52,62,72
52,53,63,52,53,54
43,53,54,43,53,63
43,44,54,43,44,45
34,44,45,34,44,54
34,35,45,34,35,36
25,35,36,25,35,45
25,26,36,25,26,27
16,26,27,16,26,36
16,17,27,16,17,18
,,,,,
70,80,90,70,80,81
70,71,72,70,71,81
61,71,81,61,71,72
61,62,63,61,62,72
52,62,72,52,62,63
52,53,54,52,53,63
43,53,63,43,53,54
43,44,45,43,44,54
34,44,54,34,44,45
34,35,36,34,35,45
25,35,45,25,35,36
25,26,27,25,26,36
16,26,36,16,26,27
16,17,18,16,17,27
07,17,27,07,17,18
07,08,09,07,08,18
