5A,,,,,,,,,,,
30,40,41,03,04,14,,,,,,
30,31,32,03,13,23,,,,,,
21,31,32,21,31,41,,,,,,
21,22,23,21,22,32,,,,,,
12,22,23,12,22,32,,,,,,
12,13,14,12,13,23,,,,,,
5B,,,,,,,,,,,
30,40,50,03,04,05,,,,,,
30,31,41,03,13,14,,,,,,
21,31,41,21,31,32,,,,,,
21,22,32,21,22,23,,,,,,
12,22,32,12,22,23,,,,,,
12,13,23,12,13,14,,,,,,
6A,,,,,,,,,,,
20,30,40,50,51,02,12,22,32,33,,
20,30,40,41,51,02,12,22,23,33,,
20,30,31,41,42,02,12,13,23,24,,
20,30,31,32,42,02,12,13,14,24,,
20,21,31,41,42,02,03,13,23,24,,
20,21,31,32,42,02,03,13,14,24,,
20,21,22,32,33,02,03,04,14,15,,
20,21,22,23,33,02,03,04,05,15,,
11,21,31,41,51,11,21,31,41,51,,
11,21,31,32,33,11,21,31,32,33,,
11,21,22,32,42,11,21,22,32,42,,
11,21,22,23,24,11,21,22,23,24,,
11,12,22,32,42,11,12,22,32,42,,
11,12,22,23,24,11,12,22,23,24,,
11,12,13,23,33,11,12,13,23,33,,
11,12,13,14,15,11,12,13,14,15,,
6B,,,,,,,,,,,
20,30,40,50,60,02,12,22,32,42,,
20,30,40,41,42,02,12,22,23,24,,
20,30,31,41,51,02,12,13,23,33,,
20,30,31,32,33,02,12,13,14,15,,
20,21,31,41,51,02,03,13,23,33,,
20,21,31,32,33,02,03,13,14,15,,
20,21,22,32,42,02,03,04,14,24,,
20,21,22,23,24,02,03,04,05,06,,
11,21,31,41,42,11,21,31,41,42,,
11,21,31,32,42,11,21,31,32,42,,
11,21,22,32,33,11,21,22,32,33,,
11,21,22,23,33,11,21,22,23,33,,
11,12,22,32,33,11,12,22,32,33,,
11,12,22,23,33,11,12,22,23,33,,
11,12,13,23,24,11,12,13,23,24,,
11,12,13,14,24,11,12,13,14,24,,
7A,,,,,,,,,,,
20,30,40,50,60,61,02,12,22,32,42,52
20,30,40,50,51,52,02,12,22,32,33,43
20,30,40,41,51,61,02,12,22,23,33,34
20,30,40,41,42,52,02,12,22,23,24,25
20,30,31,41,51,52,02,12,13,23,33,43
20,30,31,41,42,43,02,12,13,23,24,34
20,30,31,32,42,52,02,12,13,14,24,25
20,30,31,32,33,43,02,12,13,14,15,16
20,21,31,41,51,61,02,03,13,23,33,34
20,21,31,41,42,52,02,03,13,23,24,25
20,21,31,32,42,43,02,03,13,14,24,34
20,21,31,32,33,34,02,03,13,14,15,25
20,21,22,32,4:2,52,02,03,04,14,24,25
20,21,22,32,33,43,02,03,04,14,15,16
20,21,22,23,33,34,02,03,04,05,15,25
20,21,22,23,24,25,02,03,04,05,06,16
11,21,31,41,51,52,11,21,31,41,51,61
11,21,31,41,42,43,11,21,31,41,42,52
11,21,31,32,42,52,11,21,31,32,42,43
11,21,31,32,33,43,11,21,31,32,33,34
11,21,22,32,42,43,11,21,22,32,42,52
11,21,22,32,33,34,11,21,22,32,33,43
11,21,22,23,33,43,11,21,22,23,33,34
11,21,22,23,24,34,11,21,22,23,24,25
11,12,22,32,42,52,11,12,22,32,42,43
11,12,22,32,33,43,11,12,22,32,33,34
11,12,22,23,33,34,11,12,22,23,33,43
11,12,22,23,24,25,11,12,22,23,24,34
11,12,13,23,33,43,11,12,13,23,33,34
11,12,13,23,24,34,11,12,13,23,24,25
11,12,13,14,24,25,11,12,13,14,24,34
11,12,13,14,15,16,11,12,13,14,15,25
7B,,,,,,,,,,,
20,30,40,50,60,70,02,12,22,32,42,43
20,30,40,50,51,61,02,12,22,32,33,34
20,30,40,41,51,52,02,12,22,23,33,43
20,30,40,41,42,43,02,12,22,23,24,34
20,30,31,41,51,61,02,12,13,23,33,34
20,30,31,41,42,52,02,12,13,23,24,25
20,30,31,32,42,43,02,12,13,14,24,34
20,30,31,32,33,34,02,12,13,14,15,25
20,21,31,41,51,52,02,03,13,23,33,43
20,21,31,41,42,43,02,03,13,23,24,34
20,21,31,32,42,52,02,03,13,14,24,25
20,21,31,32,33,43,02,03,13,14,15,16
20,21,22,32,4:2,43,02,03,04,14,24,34
20,21,22,32,33,34,02,03,04,14,15,25
20,21,22,23,33,43,02,03,04,05,15,16
20,21,22,23,24,34,02,03,04,05,06,07
11,21,31,41,51,61,11,21,31,41,51,52
11,21,31,41,42,52,11,21,31,41,42,43
11,21,31,32,42,43,11,21,31,32,42,52
11,21,31,32,33,34,11,21,31,32,33,43
11,21,22,32,42,52,11,21,22,32,42,43
11,21,22,32,33,43,11,21,22,32,33,34
11,21,22,23,33,34,11,21,22,23,33,43
11,21,22,23,24,25,11,21,22,23,24,34
11,12,22,32,42,43,11,12,22,32,42,52
11,12,22,32,33,34,11,12,22,32,33,43
11,12,22,23,33,43,11,12,22,23,33,34
11,12,22,23,24,34,11,12,22,23,24,25
11,12,13,23,33,34,11,12,13,23,33,43
11,12,13,23,24,25,11,12,13,23,24,34
11,12,13,14,24,34,11,12,13,14,24,25
11,12,13,14,15,25,11,12,13,14,15,16
