5RA,,,
20,30,40,50
20,30,31,41
20,21,31,32
20,21,22,23
11,21,31,41
11,21,22,32
11,12,22,23
11,12,13,14
02,12,22,32
02,12,13,23
02,03,13,14
02,03,04,05
5RB,,,
20,30,40,41
20,30,31,32
20,21,31,41
20,21,22,32
11,21,31,32
11,21,22,23
11,12,22,32
11,12,13,23
02,12,22,23
02,12,13,14
02,03,13,23
02,03,04,14
7RA,,,
40,50,60,70
40,50,51,61
40,41,51,52
40,41,42,43
31,41,51,61
31,41,42,52
31,32,42,43
31,32,33,34
22,32,42,52
22,32,33,43
22,23,33,34
22,23,24,25
13,23,33,43
13,23,24,34
13,14,24,25
13,14,15,16
04,14,24,34
04,14,15,25
04,05,15,16
04,05,06,07
7RB,,,
40,50,60,61
40,50,51,52
40,41,51,61
40,41,42,52
31,41,51,52
31,41,42,43
31,32,42,52
31,32,33,43
22,32,42,43
22,32,33,34
22,23,33,43
22,23,24,34
13,23,33,34
13,23,24,25
13,14,24,34
13,14,15,25
04,14,24,25
04,14,15,16
04,05,15,25
04,05,06,16
9RA,,,
60,70,80,90
60,70,71,81
60,61,71,72
60,61,62,63
51,61,71,81
51,61,62,72
51,52,62,63
51,52,53,54
42,43,53,54
42,43,44,45
42,52,53,63
42,52,62,72
33,43,53,63
33,43,44,54
33,34,44,45
33,34,35,36
24,34,44,54
24,34,35,45
24,25,35,36
24,25,26,27
15,25,35,45
15,25,26,36
15,16,26,27
15,16,17,18
06,16,26,36
06,16,17,27
06,07,17,18
06,07,08,09
9RB,,,
60,70,80,81
60,70,71,72
60,61,71,81
60,61,62,72
51,61,71,72
51,61,62,63
51,52,62,72
51,52,53,63
42,43,53,63
42,43,44,54
42,52,53,54
42,52,62,63
33,43,53,54
33,43,44,45
33,34,44,54
33,34,35,45
24,34,44,45
24,34,35,36
24,25,35,45
24,25,26,36
15,25,35,36
15,25,26,27
15,16,26,36
15,16,17,27
06,16,26,27
06,16,17,18
06,07,17,27
06,07,08,18
