66RA,,,,,,,,,
20,30,40,50,51,02,12,22,32,42
20,30,40,41,42,02,12,22,23,33
20,30,31,41,51,02,12,13,23,24
20,30,31,32,42,02,12,13,14,15
20,21,31,41,51,02,03,13,23,24
20,21,31,32,42,02,03,13,14,15
20,21,22,32,33,02,03,04,14,24
20,21,22,23,24,02,03,04,05,15
11,21,31,41,42,11,21,31,41,51
11,21,31,32,33,11,21,31,32,42
11,21,22,32,42,11,21,22,32,33
11,21,22,23,33,11,21,22,23,24
11,12,22,32,42,11,12,22,32,33
11,12,22,23,33,11,12,22,23,24
11,12,13,23,24,11,12,13,23,33
11,12,13,14,15,11,12,13,14,24
66RB,,,,,,,,,
20,30,40,50,60,02,12,22,32,33
20,30,40,41,51,02,12,22,23,24
20,30,31,41,42,02,12,13,23,33
20,30,31,32,33,02,12,13,14,24
20,21,31,41,42,02,03,13,23,33
20,21,31,32,33,02,03,13,14,24
20,21,22,32,42,02,03,04,14,15
20,21,22,23,33,02,03,04,05,06
11,21,31,41,51,11,21,31,41,42
11,21,31,32,42,11,21,31,32,33
11,21,22,32,33,11,21,22,32,42
11,21,22,23,24,11,21,22,23,33
11,12,22,32,33,11,12,22,32,42
11,12,22,23,24,11,12,22,23,33
11,12,13,23,33,11,12,13,23,24
11,12,13,14,24,11,12,13,14,15
